value,zipcode,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate,Total Population,In Poverty,Percent In Poverty
0,90001,57942,5719,435,4936,52223,20376,217,0.750750751,8.518863691,88.01905354,57846,18902,32.68
1,90002,51826,12299,407,11002,39527,19166,186,0.78532011,21.22872689,1011.075522,51590,18302,35.48
2,90003,70208,16578,433,15606,53630,17681,600,0.616738833,22.2282361,2073.837739,69830,24556,35.17
3,90004,63095,31130,11187,2296,31965,14424,109,17.73040653,3.638957128,423.1714082,62968,12919,20.52
4,90005,39338,19139,3040,2027,20199,4431,186,7.72789669,5.152778484,660.9385327,39228,11520,29.37
5,90006,61230,16378,2173,1900,44852,11101,222,3.548913931,3.103054058,765.9643965,60620,17456,28.8
6,90007,41979,21040,7443,4256,20939,4862,104,17.73029372,10.13840253,1036.232402,36314,17605,48.48
7,90008,32060,24144,1224,20681,7916,4366,370,3.817841547,64.50717405,1110.417966,31970,6769,21.17
8,90010,3524,3151,489,179,373,176,20,13.87627696,5.079455165,7434.733258,3524,581,16.49
9,90011,104762,10379,623,8660,94383,37374,319,0.594681278,8.266356121,710.1811726,104053,40661,39.08
10,90012,32543,23348,5152,3979,9195,4286,95,15.83136158,12.22689979,872.6915158,24163,7755,32.09
11,90013,11668,9891,3506,3522,1777,843,0,30.04799451,30.1851217,10121.70038,11594,5229,45.1
12,90014,7191,5949,3152,1293,1242,521,0,43.83256849,17.98080935,7384.230288,7191,2809,39.06
13,90015,19378,7009,2460,1387,12369,4154,43,12.69480855,7.157601404,2317.060584,19258,7366,38.25
14,90016,47079,22085,3272,15865,24994,14016,332,6.950020179,33.69867669,902.7379511,46913,10438,22.25
15,90017,25772,8560,3178,1270,17212,5644,102,12.33121217,4.927828651,2103.057582,25611,11732,45.81
16,90018,51639,22325,2210,16765,29314,7470,648,4.279711071,32.46577199,1036.038653,50942,13485,26.47
17,90019,68530,36250,9938,13247,32280,14362,265,14.5016781,19.33022034,452.3566321,67749,14117,20.84
18,90020,40170,26655,4612,2052,13515,6859,87,11.48120488,5.108289768,358.476475,40127,7826,19.5
19,90021,2954,1480,545,702,1474,457,0,18.44955992,23.76438727,6872.037915,2950,1459,49.46
20,90023,46611,1519,882,244,45092,28508,179,1.892257193,0.523481582,624.3161485,46348,13071,28.2
21,90024,49737,44228,27048,869,5509,3236,42,54.38204958,1.747190221,233.2267728,37639,12553,33.35
22,90025,46520,37878,24739,1291,8642,4565,73,53.17927773,2.775150473,625.5374033,46265,5871,12.69
23,90026,67557,31604,16514,2168,35953,21296,296,24.44454313,3.20914191,361.176488,67034,15000,22.38
24,90027,46043,36314,27252,1263,9729,3459,69,59.18815021,2.743087983,89.04719501,45323,7539,16.63
25,90028,31122,21139,15158,2502,9983,2159,103,48.70509607,8.039329092,3669.429985,30505,8369,27.43
